GSE221161,GSE101794,GSE62207,GSE57945
CSF3R,CLEC12A,GLT1D1,CCNB1IP1
GNA15,CREM,GCNT2,TBXAS1
RNF141,MIR34AHG,OIP5-AS1,FBN1
CLDN12,CCNB1IP1,GAPLINC,TGM2
SLC16A2,C10orf55,CREM,OIP5-AS1
IFI44L,RRAS2,IFNG,KHDRBS2
LPL,XIRP1,CCNB1IP1,FOXQ1
SMIM19,TCEAL9,IL26,GNPAT
CHRDL2,KYNU,TMBIM6,ABCG2
IL12A,CNNM3,FAM234A,ELP2
SERPINB7,STK38,KRT6B,CRISP3
CNTN4,CRY2,GNA15,FKBP15
SLC11A1,GNB1,CTHRC1,WDTC1
FNDC4,ACP3,GAL3ST1,KYNU
WNT2,PCBP2,STXBP1,HGF
COL1A1,AZIN1,FCGR1A,ZCCHC24
DDX27,MRO,PTP4A3,STRIP2
TRIM69,GNA15,TBXAS1,TXNDC5
ZNF595,CRABP2,IRAK3,MIR34AHG
SBNO1,OTUB2,TF,STXBP1
GBP4,EMILIN2,DOCK4,ADORA1
MOCS1,ELL3,CCL2,TAS1R3
PLPP7,ARHGAP15-AS1,THNSL1,CLDN18
SLC28A3,TEF,CD33,CBR1
CUL3,SHH,ZFP36,SLC35G2
GORAB,ZCCHC24,PRKCZ,SLC25A28
TSHR,MAGED2,PFKFB3,ACP3
CALU,SCNN1G,COL17A1,HAS2
THBS2,GPR137B,CLEC6A,CYP2S1
FMNL2,GPR141,COL1A2,FCGR1A
CCR8,PTAFR,PELATON,CREM
PMEPA1,TPPP,CLEC12A,GNB1
IGKV2-18,HADHA,TYMP,CLEC12A
CD300A,ALPK1,C2,GLT1D1
AQP9,CYP27B1,BDNF,CARD16
ANKRD36BP2,STXBP1,STEAP1B,EPSTI1
LILRA1,STC2,FFAR2,BAIAP3
IL1RAP,FFAR2,PECAM1,PTAFR
UGT1A9,ADIRF,VCAN,MAP7D2
TMTC1,C3orf36,PEBP1,TSPAN9
LIF,MLKL,TLR4,UBE2G1
ASPHD2,SGIP1,SLC19A3,IL18RAP
KYNU,ADORA1,RARRES1,CLEC7A
LDLRAD3,RARRES1,FOSB,GNA15
ZMYND15,PTP4A3,PRR16,LATS2
GALNTL6,DERL3,SHANK3,STON1
THOC2,HK3,ABCG2,RRAS2
PHC2,LINC01270,KHDRBS2,EMILIN2
PEX11A,CSRNP2,GNPAT,H2BC18
IL13RA2,GFPT2,GPR137B,GRHL1
